"","...1","...2","X","Species","GrowthForm_CTD","Abund_CTD","family_molecules","family_morphology","larval","Abundance_GBR","Abundance_world","Growth_form_typical","Wave_exposure_preference","Growth_form_Wallace","MeanPCcover","ReefArea_Range","Depth_lower","Depth_upper","Oocyte_size_at_maturity","Polyp_fecundity","Polyps_per_area","Colony_maximum_diameter","Corallite_width_maximum","Corallite_width_minimum","Growth_rate","Colony_area","Size_at_maturity","Eggs_per_area","Colony_surface_area","fecundity","Colony_fecundity","coralcover","IndoPacific_fecundity","Genus","GrowthForm"
"31",31,33,33,"Acropora humilis","digitate","common","Acroporidae","Acroporidae","spawner","common","uncommon","branching_closed","broad","hispidose",0.112,236957,18.75,2,144,5.487081,104.511666666667,250.497893738972,1,0.6,8.9,648.03745958612,27.922119174,380,4.97750000000001,573.463980445002,371626.141051723,22907884.0806041,1.31368463884359e+20,"Acropora","Digitate"
"32",32,35,35,"Acropora hyacinthus","tables_or_plates","common","Acroporidae","Acroporidae","spawner","uncommon","uncommon","branching_closed","broad","corymbose",0.989,225544,32.6666666666667,3,461.5,9.496,4.1,30,1.2,0.5,74.8,1322.88735627171,28.4768428864,380,4.97750000000001,38.9336,51504.7671741402,202284797.818906,78756754043621588992,"Acropora","Other"
"33",33,36,36,"Acropora insignis","branching_closed","uncommon","Acroporidae","Acroporidae",NA,NA,"common","corymbose","protected",NA,0.318,137056,16.25,3,401.804797942254,8.63385466666666,68.9506666666667,180.193742421055,9.40079168399747,3.45351510981371,51.4230968723899,681.7799544204,32.0754825708,380,4.97750000000001,595.310035169778,405870.448644058,65042028.0145724,3.87201719848688e+20,"Acropora","Branching"
"34",34,37,37,"Acropora intermedia","branching_open","common","Acroporidae","Acroporidae","spawner","common","uncommon","branching_closed","exposed","arborescent",1.014,234438,16.5,6.66666666666667,462,6.98626,64.283,75,1.2,0.6,46.1357415190243,799.878686340378,26.1960791392,380,4.97750000000001,449.09775158,359223.719572228,207398164.801184,9.314204949403e+20,"Acropora","Branching"
"35",35,38,38,"Acropora kimbeensis","branching_closed","uncommon","Acroporidae","Acroporidae",NA,"common","common","hispidose","broad","corymbose",0.206,129998,26,2.5,401.688764005602,6.09724266666667,60.4993333333334,167.843077549063,1,0.6,49.5872850876411,698.65120183754,33.96416529,380,4.97750000000001,368.879116504889,257717.838078911,42134143.9339683,1.55424057890521e+20,"Acropora","Branching"
"36",36,39,39,"Acropora latistella","corymbose","common","Acroporidae","Acroporidae","spawner","common","common","corymbose","broad","corymbose",0.193,236156,19,3,374.426029381404,6.379086,72.6706666666667,136.845138147828,1.6,0.4,24.9283912873573,639.60183587755,30.9684985268,380,4.97750000000001,463.572432344,296501.778789444,39475193.1031839,1.82996112840921e+20,"Acropora","Other"
"37",37,40,40,"Acropora listeri","branching_closed","uncommon","Acroporidae","Acroporidae","spawner","common","uncommon","branching_open","exposed","arborescent",0.036,220974,31.6666666666667,5,325.606345736861,5.40036933333334,32.0952380952381,250,1.2,0.6,20.6470296128163,842.056804883228,28.8077064092,380,4.97750000000001,173.326139555556,145950.455276896,7363248.4544799,12762434292034154496,"Acropora","Branching"
"38",38,41,41,"Acropora longicyathus","hispidose","common","Acroporidae","Acroporidae","spawner","common","uncommon","corymbose","exposed","corymbose",0.475,212034,21.5,6,336.917268247901,5.997456,37.5725714285714,122.892425431645,1.2,0.8,37.5604599905886,757.700567797529,38.9418984168,380,4.97750000000001,225.339843949714,170740.127708105,97153972.6632764,2.18926610390375e+20,"Acropora","Other"
"39",39,42,42,"Acropora loripes","corymbose","common","Acroporidae","Acroporidae","spawner","uncommon","common","branching_open","broad","corymbose",0.077,203101,21,2,326.358342048303,6.12147666666666,78.6895714285715,50,1,0.5,32.1951921177728,723.958072963249,37.5120923848,380,4.97750000000001,481.69637541,348727.979695205,15749170.3054153,75863182518333538304,"Acropora","Other"
"40",40,43,43,"Acropora lutkeni","branching_open","uncommon","Acroporidae","Acroporidae","spawner","uncommon","common","corymbose","broad","encrusting",0.12,188468,13,1,401.980862710819,5.25527766666667,75.5486666666667,200,1.1,0.5,47.3038130369875,664.90870700326,30.066828222,380,4.97750000000001,397.029220679778,263988.185764703,24544161.514933,97447493185124499456,"Acropora","Branching"
"41",41,44,44,"Acropora microclados","corymbose","uncommon","Acroporidae","Acroporidae","spawner","uncommon","uncommon","digitate","exposed","tables_or_plates",0.125,199104,20,4.33333333333333,342.296523216526,5.470766,55.7205714285714,150,1.3,0.9,38.590080569195,757.700567797529,41.1026905344,380,4.97750000000001,304.834207672,230973.052237184,25566834.9113885,77936458628939415552,"Acropora","Other"
"42",42,45,45,"Acropora microphthalma","branching_open","common","Acroporidae","Acroporidae","spawner","uncommon","common","branching_open","protected","arborescent",0.49,233032,12.5,1,363.076342592593,6.255146,80.2116666666668,100,0.8,0.4,20.7269770257937,664.90870700326,27.6419682408,380,4.97750000000001,501.735685903334,333608.42617138,100221992.852643,5.02849503265199e+20,"Acropora","Branching"
"43",43,46,46,"Acropora millepora","corymbose","common","Acroporidae","Acroporidae","spawner","common","uncommon","branching_closed","exposed","tables_or_plates",0.21,202413,22.3333333333333,1.5,412.309258540589,4.461,8.5,166.295383216106,1.6,0.8,39.3015384937398,715.52244925468,59.42921586,380,4.97750000000001,37.9185,27131.5379920636,42952282.6511327,16286861297069754368,"Acropora","Other"
"44",44,47,47,"Acropora monticulosa","digitate","uncommon","Acroporidae","Acroporidae","spawner","uncommon","common","corymbose","exposed","corymbose",0.291,207507,13.3333333333333,1,350,6.22901666666666,65.9636666666668,9,1.2,0.6,38.5468184852941,723.958072963249,38.3123375104,380,4.97750000000001,410.888779061112,297466.248691304,59519591.6737125,2.44559323530277e+20,"Acropora","Digitate"
"45",45,48,48,"Acropora muricata",NA,NA,NA,"Acroporidae",NA,"common","uncommon","encrusting","exposed","arborescent",1.495,235930,39.6666666666667,10,388.5,7.808574,4.1,100,1.5,0.8,22,850.492428591797,31.496634254,380,4.97750000000001,32.0151534,27228.6455669049,305779345.540207,97895726540213354496,"Acropora","Other"
"46",46,49,49,"Acropora nana","branching_closed","uncommon","Acroporidae","Acroporidae","spawner","common","uncommon","tables_or_plates","exposed","corymbose",0.358,190737,14,1,339,7.036,53.4666666666667,24,1.2,0.6,49.4679117136915,825.185557466088,27.95117054,380,4.97750000000001,376.191466666667,310427.765135319,73223415.1862167,2.75460239532452e+20,"Acropora","Branching"
"47",47,50,50,"Acropora nasuta","corymbose","common","Acroporidae","Acroporidae","spawner","common","uncommon","branching_open","broad","arborescent_tables",0.225,241157,24.5,10,341,5.665211,129.700333333333,633.333333333333,0.9,0.7,8.36666666666667,656.47308329469,26.1268200992,380,4.97750000000001,734.779755103665,482363.13137542,46020302.8404993,3.38147868509386e+20,"Acropora","Other"
"48",48,52,52,"Acropora palmerae","encrusting","uncommon","Acroporidae","Acroporidae","spawner","common","uncommon","corymbose","exposed","corymbose",0.477,194910,11.3333333333333,1.5,369.206680354222,5.081391,101.394666666667,500,1.8,0.8,17.4702282583577,631.16621216898,36.0822863528,380,4.97750000000001,515.225946648002,325193.209156996,97563042.0218586,5.02670106835709e+20,"Acropora","Encrusting"
"49",49,53,53,"Acropora paniculata","tables_or_plates","uncommon","Acroporidae","Acroporidae",NA,"common","uncommon","branching_open","protected","corymbose",0.208,176835,16.75,1,386.009656544699,6.18438766666667,105.353333333333,500,2,1,32.882537627372,631.16621216898,36.933244068,380,4.97750000000001,651.545855308887,411233.729549709,42543213.2925505,2.77188542922832e+20,"Acropora","Other"
"50",50,54,54,"Acropora papillare","branching_open","uncommon","Acroporidae","Acroporidae",NA,NA,"uncommon","digitate","exposed","corymbose",0.122,85887,8.83333333333333,0.5,423.054241452991,6.771171,80.9803333333334,189.10984235717,1.2,0.3,52.2296975141117,631.16621216898,29.2158705068,380,4.97750000000001,548.331684637,346088.432404571,24953230.8735152,1.36826471220106e+20,"Acropora","Branching"
"51",51,55,55,"Acropora plumosa","tables_or_plates","uncommon","Acroporidae","Acroporidae",NA,NA,"common","branching_open","exposed","tables_or_plates",0.102,87501,15,5,443.704384920635,7.1629,91.0020000000001,174.072594032508,0.9,0.5,63.5892065523936,774.571815214669,31.0538406364,380,4.97750000000001,651.838225800001,504895.517784216,20862537.287693,1.35989992912962e+20,"Acropora","Other"
"52",52,56,56,"Acropora polystoma","corymbose","uncommon","Acroporidae","Acroporidae","spawner","common","common","digitate","broad","tables_or_plates",0.065,208524,20.6666666666667,3,345.162008714969,6.73874,63.1645714285715,50,1.1,0.5,36.864899505728,749.264944088959,36.074244818,380,4.97750000000001,425.649624068572,318924.341779225,13294754.153922,56589071077009858560,"Acropora","Other"
"53",53,57,57,"Acropora pulchra","branching_open","uncommon","Acroporidae","Acroporidae","spawner","common","common","corymbose","broad","corymbose",0.294,215209,25,2,116,5.666616,57.0933333333334,100,0.8,0.3,17.8,791.443062631808,35.71679331,380,4.97750000000001,323.52599616,256052.405241877,60133195.7115858,1.9454652044875e+20,"Acropora","Branching"
"54",54,58,58,"Acropora retusa","digitate","uncommon","Acroporidae","Acroporidae","spawner",NA,"common","branching_closed","exposed","hispidose",0.433,140741,35,5,466.143611111111,7.40819333333333,43.351,131.630355598912,1.1,0.5,54.545771275783,892.670547134647,30.101457742,380,4.97750000000001,321.152589193333,286683.457508921,88563516.1330498,2.84424025141945e+20,"Acropora","Digitate"
"55",55,59,59,"Acropora robusta","branching_open","common","Acroporidae","Acroporidae","spawner","common","uncommon","corymbose","exposed","hispidose",0.343,235149,35,5,346.886298395314,5.15984933333334,31.5749047619047,194.202966923316,1.1,0.8,12.325,808.314310048949,27.7353518852,380,4.97750000000001,162.921751285778,131691.98298253,70155394.9968501,1.14298398150323e+20,"Acropora","Branching"
"56",56,60,60,"Acropora samoensis","digitate","common","Acroporidae","Acroporidae","spawner","uncommon","rare","tables_or_plates","broad","corymbose",0.082,235425,51.6666666666667,12,364.234674603175,7.559185,119.026333333333,500,0.8,0.3,21.7533926063826,673.34433071183,22.3574961956,380,4.97750000000001,899.742073538331,605836.224319941,16771843.7018709,1.50903334293821e+20,"Acropora","Digitate"
"57",57,61,61,"Acropora sarmentosa","corymbose","common","Acroporidae","Acroporidae","spawner","uncommon","uncommon","corymbose","protected","tables_or_plates",0.066,189782,11,2,389.994516233766,6.15114666666666,61.8260000000001,15,1.2,0.8,48.1170867918895,766.136191506098,35.75142283,380,4.97750000000001,380.300793813334,291362.201798893,13499288.8332131,51337902591864176640,"Acropora","Other"
"58",58,62,62,"Acropora secale","branching_closed","common","Acroporidae","Acroporidae","spawner","rare","uncommon","tables_or_plates","broad","corymbose",0.208,222626,29.55,10,338.604163476874,6.13442266666667,54.1019047619048,100,0.8,0.6,29.861373903487,875.799299717507,32.6116598328,380,4.97750000000001,331.88395088127,290663.731769296,42543213.2925505,1.41194097107162e+20,"Acropora","Branching"
"59",59,63,63,"Acropora selago","corymbose","uncommon","Acroporidae","Acroporidae","spawner","uncommon","rare","branching_closed","broad","arborescent",0.123,220450,32.5,5,360.822291628135,6.24832266666667,22.3012380952381,100,1.2,0.8,32.8552960935297,901.106170843217,34.5430136068,380,4.97750000000001,139.345331485206,125564.938079513,25157765.5528063,35056171803828908032,"Acropora","Other"
"60",60,64,64,"Acropora solitaryensis","tables_or_plates","rare","Acroporidae","Acroporidae","spawner","uncommon","uncommon","hispidose","protected","arborescent_tables",0.26,183612,27.5,5,466.537277680653,8.64716666666667,37.7343333333333,200,1.3,1,127.5,951.719913094636,30.3228545508,380,4.97750000000001,326.295069388889,310541.515082001,53179016.6156881,1.73520509166488e+20,"Acropora","Other"
"61",61,66,66,"Acropora speciosa","corymbose","uncommon","Acroporidae","Acroporidae",NA,NA,"uncommon","corymbose","protected","corymbose",0.097,132262,18.3333333333333,4.5,441.113889822596,8.47471,89.6443333333334,100,0.9,0.5,62.9,875.799299717507,31.0457991016,380,4.97750000000001,759.709728143334,665353.24789651,19839863.8912375,1.50725376032128e+20,"Acropora","Other"
"62",62,67,67,"Acropora spicifera","tables_or_plates","uncommon","Acroporidae","Acroporidae","spawner",NA,"uncommon","corymbose","exposed","arborescent",0.227,155229,31,1,622,8.80405099999999,42.9923333333333,182.350988849889,1.1,0.8,42.9,799.878686340379,37.5547634396,380,4.97750000000001,378.506695275666,302759.438188138,46429372.1990816,1.75738282347983e+20,"Acropora","Other"
"63",63,68,68,"Acropora striata","branching_closed","rare","Acroporidae","Acroporidae","spawner",NA,"uncommon","branching_closed","protected","arborescent",0.184,119908,38.3333333333333,5,500.348111111111,7.3192,36.6343333333333,129.619392737699,1.2,0.8,59.0019445425897,926.413041968926,31.9820989264,380,4.97750000000001,268.134012533333,248402.846206339,37634380.9895639,1.009105758394e+20,"Acropora","Branching"
"64",64,69,69,"Acropora subglabra","hispidose","uncommon","Acroporidae","Acroporidae",NA,"uncommon","common","branching_open","protected","cuneiform",0.306,189616,32,1.66666666666667,439.027579384668,4.71528933333333,37.7476666666666,176.006105871264,3.7,2.4,43.0687009086862,850.492428591798,44.51456293,380,4.97750000000001,177.991169991555,151380.142434013,62587611.8630791,1.11400422624868e+20,"Acropora","Other"
"65",65,70,70,"Acropora subulata","tables_or_plates","common","Acroporidae","Acroporidae","spawner","rare","common","corymbose","broad","arborescent",0.283,220366,22,2,373.000330094833,6.60957933333333,39.2645714285714,150,6.6,2,35.2013356042059,774.571815214669,37.1892703968,380,4.97750000000001,259.522299846476,201018.65888077,57883314.2393836,1.50220108341411e+20,"Acropora","Other"
"66",66,71,71,"Acropora suharsonoi","corymbose","uncommon","Acroporidae","Acroporidae",NA,NA,"common","corymbose","exposed","arborescent_tables",0.04,9046,20.5,5,464.115677960928,7.9919,74.9576666666667,156.019280162894,3.4,2,62.2585629528372,791.443062631809,32.8410981764,380,4.97750000000001,599.054176233334,474117.271920485,8181387.17164433,49010941525553610752,"Acropora","Other"
"67",67,72,72,"Acropora tenuis","corymbose","uncommon","Acroporidae","Acroporidae","spawner","rare","common","branching_closed","exposed","corymbose",0.219,239811,35,5,389.029527194293,5.115256,25.4829047619047,160.331356827796,1.5,0.7,26.7779702308892,791.443062631809,33.1639201644,380,4.97750000000001,130.351581480762,103165.854866034,44793094.7647527,58388507420031557632,"Acropora","Other"
"68",68,73,73,"Acropora tortuosa","branching_closed","uncommon","Acroporidae","Acroporidae","spawner","uncommon","uncommon","columnar","protected","arborescent_tables",0.117,101322,30,3,371.180564659197,6.37521933333333,64.6693333333334,147.715843249475,0.5,0.2,46.521752849079,723.958072963249,32.891810766,380,4.97750000000001,412.281184140445,298474.291589323,23930557.4770597,98661185737831530496,"Acropora","Branching"
"69",69,74,74,"Acropora valenciennesi","branching_open","common","Acroporidae","Acroporidae","spawner","uncommon","uncommon","columnar","protected","tables_or_plates",0.542,232515,30,1,404.543075757576,6.20521666666667,65.0960000000001,50,0.6,0.5,7.16,774.571815214669,29.3945962608,380,4.97750000000001,403.934784133334,312876.498974502,110857796.175781,4.47793199677612e+20,"Acropora","Branching"
"70",70,75,75,"Acropora valida","corymbose","common","Acroporidae","Acroporidae","spawner","uncommon","rare","submassive","exposed","arborescent",0.548,245545,35,3,575,4.84248166666667,154.957,500,0.8,0.5,20.2166666666667,740.829320380389,19.6685683508,380,4.97750000000001,750.376431621667,555900.861867741,112085004.251527,8.41059455285602e+20,"Acropora","Other"
"71",71,76,76,"Acropora verweyi","corymbose","common","Acroporidae","Acroporidae",NA,"common","uncommon","columnar","protected","arborescent",0.054,206250,25,2,356.805951428836,5.67500266666667,32.0795714285714,139.988518650193,2.3,1.8,29.8866388060474,774.571815214669,44.1063988324,380,4.97750000000001,182.051653402667,141012.079638935,11044872.6817198,20107373333290385408,"Acropora","Other"
"72",72,77,77,"Acropora yongei","branching_closed","common","Acroporidae","Acroporidae","spawner","rare","uncommon","branching_closed","broad","hispidose",0.324,187258,20,8,471.407853535354,10.5637733333333,64.778,125,1.6,1.4,79.1929411764706,833.621181174658,35.6153681308,380,4.97750000000001,684.300108986665,570447.06513141,66269236.090319,4.53480454790683e+20,"Acropora","Branching"
