"","Species","GrowthForm_CTD","Abund_CTD","family_molecules","family_morphology","larval","MeanPCcover","Growth_rate","Colony_fecundity","Colony_area","Polyps_per_area","Polyp_fecundity","Eggs_per_area","Colony_maximum_diameter","Corallite_width_minimum","Corallite_width_maximum"
"12","Goniastrea retiformis","massive","common","Merulinidae","Faviidae","spawner",0.332,7.27,6349.88481168333,262.0747126308,8.5,45.818,1078.4696,100,3.5,6.5
"13","Stylophora pistillata","branching_closed","common","Pocilloporidae","Pocilloporidae","brooder",0.433,18.0879423066667,4818.46393939394,123.268118051381,360,0.767088571428571,2058.3088,46.0128416666667,0.9,1.4
"14","Coelastrea aspera",NA,NA,NA,NA,NA,NA,4,26936.3886716245,140.343675109761,3.4,1291.17224088571,920,500,8.5,11.5
"15","Goniastrea favulus","massive","uncommon","Merulinidae","Faviidae","spawner",0.072,4.05,26936.3886716245,160.539252120225,3.9,1143.48494088571,380,402.995783333333,4,7.5
"16","Platygyra sinensis","massive","uncommon","Merulinidae","Faviidae","spawner",0.096,8.36666666666667,26936.3886716245,164.324446372841,4.1,776.466171771428,310,421.4855,3.3,6.7
"17","Bernardpora stutchburyi",NA,NA,NA,NA,NA,NA,7.55249723870351,7790.49031122696,147.439852420053,17.4,1487.1854,694.517,70.187175,22.485,45.3622142857143
"18","Homophyllia bowerbanki",NA,NA,NA,NA,NA,NA,8.1768667509633,12483.4434004794,160.885028233423,4.95390833333333,1058.85084,554.713,175,20,25
"19","Acanthastrea brevis",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"20","Acanthastrea echinata","massive","common","Lobophyllidae","Mussidae","spawner",0.065,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"21","Dipsastrea faviaformis",NA,NA,NA,NA,NA,NA,3.43886782541103,7314.78856477922,144.751853161336,11.2182383333333,1274.01489088571,823.453,20,10.3,20.6
"22","Acanthastrea hemprichi",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"23","Homophyllia hillae",NA,NA,NA,NA,NA,NA,6.48191959976671,11996.338980584,172.367929810757,4.833165,1824.77088,539.019,150,32.7,85.7
"24","Acanthastrea ishigakiensis",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"25","Micromussa lordhowensis",NA,NA,NA,NA,NA,NA,4.98969252798926,11996.338980584,173.631629810757,3.283785,1290.12496088571,636.7759,167.498583333333,7.5,13.5
"26","Sclerophyllia maxima",NA,NA,NA,NA,NA,NA,2.85894787206467,8380.19681832073,161.803068776274,6.40899833333333,1707.51996,585.964,103.3,27.5,40
"27","Acanthastrea regularis",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"28","Acanthastrea rotundoflora",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"29","Acanthastrea subechinata",NA,NA,NA,NA,NA,NA,4.07510344646199,8380.19681832073,143.121763699825,6.91837166666666,1379.19307088571,695.528,91.9082833333333,12.8,17.754
"30","Acropora abrolhosensis","branching_open","rare","Acroporidae","Acroporidae","spawner",0.108,14.4990334382105,34186.1192994837,332.198461147438,64.9778578333333,28.2923886,2579.7958,533.333333333333,0.9,1.5
"31","Acropora abrotanoides","branching_open","uncommon","Acroporidae","Acroporidae","spawner",0.145,127.5,51131.3464627925,640.620746619555,101.828067333333,13.9686935428572,2604.1977,902.5,0.7,1.2
"32","Acropora aculeus","corymbose","uncommon","Acroporidae","Acroporidae","spawner",0.058,34.083758823203,27481.1066715461,460.341019968281,124.422430666667,79.6654832857144,2604.1977,40,0.8,1
"33","Acropora acuminata","branching_open","uncommon","Acroporidae","Acroporidae",NA,1.189,33.9570679166667,31113.2834398492,503.67333559289,123.9958455,6.82309088571429,2604.1977,133.333333333333,0.6,1.2
"34","Acropora akajimensis",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"35","Acropora anthocercis","tables_or_plates","uncommon","Acroporidae","Acroporidae","spawner",0.38,29.7281534212967,15432.2313078982,316.615930915559,71.3577769999999,10.4580994857143,2222.5705,75,0.8,1.3
"36","Acropora appressa",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"37","Acropora arabensis",NA,NA,NA,NA,NA,NA,36.6575430152641,30675.2261787048,487.223117643803,107.721585166667,6.63561354285715,2604.1977,165.242133333333,0.5,2
"38","Acropora aspera","branching_open","uncommon","Acroporidae","Acroporidae","spawner",0.342,6.05105,26617.6594036944,162.222760318111,51.8655856666667,553.635825057143,1322.0863,481.332,1,1.8
"39","Acropora austera","branching_open","common","Acroporidae","Acroporidae",NA,0.258,62.9,48561.6619261349,542.732682473407,110.567230333333,8.00156354285716,2604.1977,292.463333333333,0.6,1.5
"40","Acropora awi","hispidose","uncommon","Acroporidae","Acroporidae",NA,0.05,29.6905449404762,31672.3684160228,497.841670067557,132.597563666667,6.62068354285715,2604.1977,150,0.7,1
"41","Acropora azurea",NA,NA,NA,NA,NA,NA,5.67347519849659,7314.78856477922,144.751853161336,12.3695333333333,1764.96724,777.46,15,72.099,89.6353272727273
"42","Acropora batunai",NA,NA,NA,NA,NA,NA,31.0499686309524,34982.0515685497,568.695861591291,129.483230333333,6.78333088571429,2604.1977,125,0.2,0.5
"43","Acropora bifurcata",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"44","Acropora branchi",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"45","Isopora brueggemanni","branching_open","common","Acroporidae","Acroporidae","brooder",0.979,74.8,45977.04251621,494.249037307871,86.5068341666667,15.7500015142857,2579.7958,438.6,1,1.6
"46","Acropora bushyensis",NA,NA,NA,NA,NA,NA,23.4270963384655,11277.2413919742,258.62132916478,69.5640503333333,78.0457579714287,2222.5705,25,0.7,1.5
"47","Acropora cardenae",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"48","Acropora carduus","hispidose","common","Acroporidae","Acroporidae","spawner",0.165,35.4878222619048,29808.2345116352,493.513132164598,127.835333333333,6.60673265714286,2604.1977,99.33,0.5,0.9
"49","Acropora caroliniana","tables_or_plates","uncommon","Acroporidae","Acroporidae",NA,0.059,35.0381680952381,30311.0324757091,493.745667789155,112.642661,30.3677826571429,2604.1977,50,0.6,1
"50","Acropora cerealis","corymbose","common","Acroporidae","Acroporidae","spawner",0.188,42.9,33330.6681950386,555.847472769925,121.884794,30.4802026571429,2604.1977,50,0.3,0.8
"51","Acropora cervicornis",NA,NA,NA,NA,NA,NA,55.7848431372549,21654.3712806278,370.315310411942,25,39.8639024000001,2222.5705,68.69,1.1,1.7
"52","Acropora chesterfieldensis",NA,NA,NA,NA,NA,NA,33.3057777777778,28805.5062736018,479.25465707416,124.528333333333,6.47557531428572,2604.1977,100.3869,0.7,1
"53","Acropora clathrata","tables_or_plates","common","Acroporidae","Acroporidae","spawner",0.234,35.4878222619048,29808.2345116352,493.513132164598,127.835333333333,6.60673265714286,2604.1977,99.33,0.5,0.9
"54","Acropora convexa",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"55","Acropora cophodactyla",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"56","Acropora copiosa",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"57","Isopora crateriformis",NA,NA,NA,NA,NA,NA,34.8699298809524,29808.2345116352,493.513132164598,125.237666666667,6.60673265714286,2604.1977,86.6666666666667,0.5,0.8
"58","Isopora cuneata",NA,NA,NA,NA,NA,NA,37.0295113095239,28948.7646028588,494.025531423381,121.6207125,78.2757217714287,2604.1977,20,0.5,1
"59","Acropora cylindrica",NA,NA,NA,NA,NA,NA,2.83877262575926,8380.19681832073,159.653559529775,6.40899833333333,1707.51996,586.669,100,28.3301103896104,37.1313266178266
"60","Acropora cytherea","tables_or_plates","common","Acroporidae","Acroporidae",NA,0.921,59.725,50130.7272439622,581.169072906806,128.667230333333,9.31752354285715,2604.1977,300,0.7,1
"61","Acropora dendrum",NA,NA,NA,NA,NA,NA,36.9513179551821,31052.7730255973,493.513132164598,118.874281833333,6.60383265714287,2604.1977,100,0.5,1.2
"62","Acropora derawanensis",NA,NA,NA,NA,NA,NA,35.3729097619048,29808.2345116352,493.513132164598,127.465333333333,6.60673265714286,2604.1977,100,0.5,1
"63","Acropora desalwii","corymbose","common","Acroporidae","Acroporidae",NA,0.073,19.8911804711955,15846.7841537117,325.737394294005,81.1472003333332,76.6699859428573,2222.5705,30,0.6,0.8
"64","Acropora digitifera","digitate","uncommon","Acroporidae","Acroporidae","spawner",0.552,37.6,17212.5596790684,349.723157563903,72.2478069999999,7.86254620000001,2211.0925,100,0.6,1.6
"65","Acropora divaricata","tables_or_plates","common","Acroporidae","Acroporidae","spawner",0.175,41.5,31672.3684160228,498.886924486404,129.523563666667,6.69193354285715,2604.1977,168.45,0.7,1.1
"66","Acropora donei","branching_open","uncommon","Acroporidae","Acroporidae","spawner",0.231,30.6366006999224,41009.6052952227,439.637678798104,93.4206196666666,10.2501732857143,2604.1977,266.666666666667,0.8,1.4
"67","Acropora downingi",NA,NA,NA,NA,NA,NA,33.3057777777778,28805.5062736018,479.25465707416,124.528333333333,6.47557531428572,2604.1977,100.3869,0.7,1
"68","Acropora echinata","hispidose","uncommon","Acroporidae","Acroporidae","spawner",0.137,33.9641268452381,32675.0966540562,512.100145157995,129.821897,6.75184088571429,2604.1977,150,0.5,1
"69","Acropora efflorescens",NA,NA,NA,NA,NA,NA,7.47312197522017,12483.4434004794,160.885028233423,4.754915,1483.51996,550.967,200,16.826,34.24
"70","Acropora elegans",NA,NA,NA,NA,NA,NA,33.3679098214286,36397.6091391002,573.222061256907,129.260230333333,6.79448088571429,2604.1977,162.623333333333,0.4,0.8
"71","Acropora elegantula",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"72","Isopora elizabethensis",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"73","Acropora elseyi","hispidose","common","Acroporidae","Acroporidae","spawner",0.602,0.37,13306.346248266,202.092235757564,61.0758453333333,566.492145057143,1346.3663,50,0.6,0.9
"74","Acropora exquisita",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"75","Acropora fastigata","branching_closed","rare","Acroporidae","Acroporidae",NA,0.093,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"76","Acropora fenneri",NA,NA,NA,NA,NA,NA,2.83877262575926,8380.19681832073,159.653559529775,6.40899833333333,1707.51996,586.669,100,28.3301103896104,37.1313266178266
"77","Acropora filiformis",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"78","Acropora florida","branching_open","common","Acroporidae","Acroporidae","spawner",0.354,73.9199914363641,45554.4972259569,464.529736692798,85.549528,13.7739062,2604.1977,1500,0.7,1.4
"79","Acropora muricata",NA,NA,NA,"Acroporidae",NA,1.495,79.1929411764706,43659.9095908851,560.061678658125,21,54.0203988571429,2296.5711,625,0.8,1.2
"80","Acropora forskali",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"81","Acropora glauca","tables_or_plates","rare","Acroporidae","Acroporidae","spawner",0.123,23.9271684987335,19155.306224465,331.210100770228,72.3239858333332,11.1552841714286,2211.0925,176.8369,0.9,1.3
"82","Acropora globiceps","digitate","common","Acroporidae","Acroporidae",NA,0.264,24.4419329965899,17439.9975132526,325.478268766516,48.9268538333333,15.7786268285714,2211.0925,164.443933333333,1.2,2.1
"83","Acropora gomezi","branching_open","uncommon","Acroporidae","Acroporidae",NA,0.323,0.08375,8380.19681832073,159.653559529775,6.40899833333333,1707.51996,586.669,98,27.1973246753247,37.5469774114774
"84","Acropora grandis","branching_open","common","Acroporidae","Acroporidae","spawner",0.71,34.6057774282154,41527.3381325638,443.720180607177,90.6997368333333,12.3044632857143,2579.7958,450,0.8,1.7
"85","Acropora granulosa","tables_or_plates","common","Acroporidae","Acroporidae","spawner",0.085,7.16,18242.3894943707,307.369569947999,62.4775776666667,532.571139742857,1587.4031,75,0.4,0.9
"86","Acropora haimei",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"87","Acropora hemprichii",NA,NA,NA,NA,NA,NA,6.51888888888889,16010.5993875882,214.427396767816,53.4712063333333,534.647254171428,1292.4673,200,0.8,1.2
"88","Acropora hoeksemai","branching_open","common","Acroporidae","Acroporidae",NA,0.46,91.2224714285714,51133.4554819956,676.673314439114,124.406281833333,9.5286708857143,2604.1977,333.333333333333,0.6,1.1
"89","Acropora horrida","branching_closed","uncommon","Acroporidae","Acroporidae","spawner",0.35,24.027974554561,19508.9931050395,356.746500170329,75.1642518333333,7.72498442857144,2211.0925,200,0.6,1.5
"90","Acropora humilis","digitate","common","Acroporidae","Acroporidae","spawner",0.112,20.2166666666667,11720.7146615139,262.3547297697,70.0018663333333,12.2571418857143,2205.4575,122.583666666667,1,1.8
"91","Acropora indonesia",NA,NA,NA,NA,NA,NA,34.5334966666667,29808.2345116352,492.53324328274,128.035,6.60673265714286,2604.1977,100,0.6,1
"92","Acropora inermis",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"93","Acropora insignis","branching_closed","uncommon","Acroporidae","Acroporidae",NA,0.318,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"94","Acropora irregularis",NA,NA,NA,NA,NA,NA,5.42087030041798,26936.3886716245,159.275552120225,3.63040166666666,1971.91998,543.124,300,17.486,30.882
"95","Acropora jacquelineae",NA,NA,NA,NA,NA,NA,37.606728452381,34087.7229536497,562.655751759632,126.763230333333,6.63822265714286,2604.1977,86.6666666666667,0.1,0.5
"96","Acropora japonica",NA,NA,NA,NA,NA,NA,34.36083,29808.2345116352,492.53324328274,128.235,6.60673265714286,2604.1977,99.3,0.6,0.9
"97","Acropora kimbeensis","branching_closed","uncommon","Acroporidae","Acroporidae",NA,0.206,35.9092861904762,34087.7229536497,568.695861591291,127.603230333333,6.70665177142858,2604.1977,104.53,0.4,0.6
"98","Acropora kirstyae",NA,NA,NA,NA,NA,NA,38.5208386904762,34087.7229536497,562.655751759632,127.943230333333,6.63822265714286,2604.1977,100.566666666667,0.2,0.8
"99","Acropora kosurini",NA,NA,NA,NA,NA,NA,34.75749,29808.2345116352,492.53324328274,126.227333333333,6.60673265714286,2604.1977,99.7533333333333,0.6,0.8
"100","Acropora lamarcki",NA,NA,NA,NA,NA,NA,32.4,17094.4455701055,234.664297548274,30.52263,1056.0968162,1402.5314,200,15.9273333333333,30.9023333333333
"101","Acropora latistella","corymbose","common","Acroporidae","Acroporidae","spawner",0.193,34.36083,29808.2345116352,492.53324328274,128.235,6.60673265714286,2604.1977,99.3,0.6,0.9
"102","Acropora lianae",NA,NA,NA,NA,NA,NA,4.89561555820549,7626.81832617008,162.832314195798,9.77115499999999,1730.6036,592.468,50,57.581,64.2136111111111
"103","Acropora listeri","branching_closed","uncommon","Acroporidae","Acroporidae","spawner",0.036,35.0381680952381,30311.0324757091,493.745667789155,112.642661,30.3677826571429,2604.1977,50,0.6,1
"104","Acropora loisetteae",NA,NA,NA,NA,NA,NA,27.1142188192668,18931.1789966934,335.322821622282,49.8143575,15.9345732857143,2211.0925,166.3835,1.2,1.6
"105","Acropora lokani",NA,NA,NA,NA,NA,NA,19.9368604711955,15846.7841537117,321.897263077776,80.7262003333332,76.6365359428573,2222.5705,30,0.6,0.9
"106","Acropora longicyathus","hispidose","common","Acroporidae","Acroporidae","spawner",0.475,23.3687283012118,17215.8082274182,321.790795815034,76.8469699999999,7.02251442857143,2211.0925,148.0169,0.5,1.3
"107","Acropora loripes","corymbose","common","Acroporidae","Acroporidae","spawner",0.077,30.0687176140526,22498.6655859327,387.609282962977,80.9425551666666,29.4745435428572,2222.5705,45,0.5,1.2
"108","Acropora loveli",NA,NA,NA,NA,NA,NA,25.8764707581659,21058.5828700546,372.354696619967,73.2762518333333,7.76710417142858,2211.0925,186.823566666667,0.9,1.7
"109","Acropora lutkeni","branching_open","uncommon","Acroporidae","Acroporidae","spawner",0.12,88.1798294423224,52134.0747008258,651.953109972938,101.688067333333,14.1042208857143,2579.7958,600,0.6,1.2
"110","Acropora macrostoma",NA,NA,NA,NA,NA,NA,2.83877262575926,8380.19681832073,159.653559529775,6.40899833333333,1707.51996,586.669,100,28.3301103896104,37.1313266178266
"111","Acropora maryae",NA,NA,NA,NA,NA,NA,5.82973662797993,7790.49031122696,145.036818365847,10.5058633333333,1730.6036,695.239,66.25,43.26625,49.8691706349206
"112","Acropora massawensis",NA,NA,NA,NA,NA,NA,7.47312197522017,12483.4434004794,160.885028233423,4.754915,1483.51996,550.967,200,16.826,34.24
"113","Acropora meridiana",NA,NA,NA,NA,NA,NA,2.83877262575926,8380.19681832073,159.653559529775,6.40899833333333,1707.51996,586.669,100,28.3301103896104,37.1313266178266
"114","Acropora microclados","corymbose","uncommon","Acroporidae","Acroporidae","spawner",0.125,34.3973792717087,31052.7730255973,492.53324328274,118.8539485,6.60383265714287,2604.1977,100,0.6,1.2
"115","Acropora microphthalma","branching_open","common","Acroporidae","Acroporidae","spawner",0.49,35.2698049818841,33406.8545394517,511.700996937694,128.005178833333,6.79111088571429,2604.1977,200,0.6,1
"116","Acropora minuta",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"117","Acropora mirabilis",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"118","Acropora monticulosa","digitate","uncommon","Acroporidae","Acroporidae","spawner",0.291,78.0020119047618,51133.4554819956,676.673314439114,120.213563666667,9.5286708857143,2604.1977,300,0.6,1.2
"119","Acropora multiacuta",NA,NA,NA,NA,NA,NA,25.6560435308326,23024.4413915794,371.993710728695,61.9385036666666,8.93036442857144,2211.0925,205.610633333333,0.6,2
"120","Acropora nasuta","corymbose","common","Acroporidae","Acroporidae","spawner",0.225,41.9,29035.8655443012,515.265188857296,122.178897,6.63826265714287,2604.1977,80,0.5,1.1
"121","Acropora natalensis",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"122","Acropora navini",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"123","Acropora intermedia","branching_open","common","Acroporidae","Acroporidae","spawner",1.014,33.7013656215907,41009.6052952227,416.671684095862,94.240322,12.3044632857143,2579.7958,500,0.8,1.5
"124","Acropora ocellata",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"125","Acropora orbicularis",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"126","Acropora palmata",NA,NA,NA,NA,NA,NA,68.9857142857143,46844.599030632,491.91408688238,88.2439728333333,11.1499062,2604.1977,400,0.7,1.6
"127","Acropora palmerae","encrusting","uncommon","Acroporidae","Acroporidae","spawner",0.477,23.8049109625016,19155.306224465,339.69531802364,76.6105336666666,10.5196341714286,2211.0925,180,0.9,1.3
"128","Acropora paniculata","tables_or_plates","uncommon","Acroporidae","Acroporidae",NA,0.208,37.8400595238095,34087.7229536497,568.695861591291,127.603230333333,6.70665177142858,2604.1977,103,0.4,0.8
"129","Acropora papillare","branching_open","uncommon","Acroporidae","Acroporidae",NA,0.122,25.0078745104494,20326.8249846592,370.794067076552,70.7297554999999,9.70942417142858,2211.0925,166.4476,0.8,1.6
"130","Acropora parahemprichii",NA,NA,NA,NA,NA,NA,5.86095408829677,26936.3886716245,159.275552120225,3.61679333333333,1972.1818,553.689,400,19.316,34.636
"131","Acropora parapharaonis",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"132","Acropora parilis",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"133","Acropora pectinatus",NA,NA,NA,NA,NA,NA,2.83877262575926,8380.19681832073,159.653559529775,6.40899833333333,1707.51996,586.669,100,28.3301103896104,37.1313266178266
"134","Acropora pharaonis",NA,NA,NA,NA,NA,NA,7.54,12690.7068371613,192.761502995036,58.4611305,312.923090371428,1456.1777,147.908316666667,0.6,1.5
"135","Acropora pichoni",NA,NA,NA,NA,NA,NA,35.4878222619048,29808.2345116352,493.513132164598,127.835333333333,6.60673265714286,2604.1977,100,0.5,0.9
"136","Acropora pinguis",NA,NA,NA,NA,NA,NA,7.47312197522017,12483.4434004794,160.885028233423,4.754915,1483.51996,550.967,200,16.826,34.24
"137","Acropora plana",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"138","Acropora plantaginea",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"139","Acropora plumosa","tables_or_plates","uncommon","Acroporidae","Acroporidae",NA,0.102,34.8586595833333,32675.0966540562,511.120256276137,127.002178833333,6.82309088571429,2604.1977,160.163333333333,0.6,1.2
"140","Acropora polystoma","corymbose","uncommon","Acroporidae","Acroporidae","spawner",0.065,29.8229904801203,14688.0024033513,320.535486442993,73.070777,9.05928948571429,2222.5705,80,0.8,1.5
"141","Acropora prolifera",NA,NA,NA,NA,NA,NA,59.3333333333333,48561.6619261349,542.732682473407,110.567230333333,6.65756354285715,2604.1977,275.813333333333,0.6,1.5
"142","Acropora prostrata",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"143","Acropora proximalis",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"144","Acropora pruinosa",NA,NA,NA,NA,NA,NA,30.3570299403239,15098.7227166653,311.770998682604,53.9960841666667,13.6617268285714,2211.0925,100,1.1,1.6
"145","Acropora pulchra","branching_open","uncommon","Acroporidae","Acroporidae","spawner",0.294,79.94,52134.0747008258,655.47351728007,103.801097333333,11.4428908857143,2579.7958,500,0.6,1.2
"146","Acropora rambleri",NA,NA,NA,NA,NA,NA,2.83877262575926,8380.19681832073,159.653559529775,6.40899833333333,1707.51996,586.669,100,28.3301103896104,37.1313266178266
"147","Acropora retusa","digitate","uncommon","Acroporidae","Acroporidae","spawner",0.433,30.1597593278692,21018.0814221284,420.833536453753,85.2789999999999,5.48786620000001,2211.0925,101.733333333333,0.7,0.9
"148","Acropora robusta","branching_open","common","Acroporidae","Acroporidae","spawner",0.343,22.4,15495.902142344,314.512355209707,77.7096366666666,5.66826442857144,2211.0925,147.758333333333,0.5,1.5
"149","Acropora rosaria",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
"150","Acropora roseni",NA,NA,NA,NA,NA,NA,27.5621234100597,19662.5697969047,335.709982063319,49.4910241666667,16.0247332857143,2211.0925,200,1.2,1.6
"151","Acropora rudis",NA,NA,NA,NA,NA,NA,34.3973792717087,31052.7730255973,492.53324328274,118.8539485,6.60383265714287,2604.1977,100,0.6,1.2
"152","Acropora rufus",NA,NA,NA,NA,NA,NA,4.81563599079861,7314.78856477922,147.097534867426,12.5612633333333,1764.96724,772.552,28.02868125,67.664,83.9338611111111
