"","Species","GrowthForm_CTD","Abund_CTD","family_molecules","family_morphology","larval","MeanPCcover","Growth_rate","Colony_fecundity","Colony_area","Polyps_per_area","Polyp_fecundity","Eggs_per_area","Colony_maximum_diameter","Corallite_width_minimum","Corallite_width_maximum"
"22","Acanthastrea hemprichi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Homophyllia hillae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,32.7,85.7
"24","Acanthastrea ishigakiensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Micromussa lordhowensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,13.5
"26","Sclerophyllia maxima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.5,40
"27","Acanthastrea regularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Acanthastrea rotundoflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Acanthastrea subechinata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,NA
"30","Acropora abrolhosensis","branching_open","rare","Acroporidae","Acroporidae","spawner",0.108,NA,NA,NA,NA,NA,NA,533.333333333333,0.9,1.5
"31","Acropora abrotanoides","branching_open","uncommon","Acroporidae","Acroporidae","spawner",0.145,127.5,NA,NA,NA,NA,NA,NA,0.7,1.2
"32","Acropora aculeus","corymbose","uncommon","Acroporidae","Acroporidae","spawner",0.058,NA,NA,NA,NA,NA,NA,40,0.8,1
"33","Acropora acuminata","branching_open","uncommon","Acroporidae","Acroporidae",NA,1.189,NA,NA,NA,NA,NA,NA,133.333333333333,0.6,1.2
"34","Acropora akajimensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Acropora anthocercis","tables_or_plates","uncommon","Acroporidae","Acroporidae","spawner",0.38,NA,NA,NA,NA,NA,NA,75,0.8,1.3
"36","Acropora appressa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Acropora arabensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,2
"38","Acropora aspera","branching_open","uncommon","Acroporidae","Acroporidae","spawner",0.342,6.05105,NA,NA,NA,NA,NA,NA,1,1.8
"39","Acropora austera","branching_open","common","Acroporidae","Acroporidae",NA,0.258,62.9,NA,NA,NA,NA,NA,NA,0.6,1.5
"40","Acropora awi","hispidose","uncommon","Acroporidae","Acroporidae",NA,0.05,NA,NA,NA,NA,NA,NA,150,0.7,1
"41","Acropora azurea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
"42","Acropora batunai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,0.2,0.5
"43","Acropora bifurcata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Acropora branchi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Isopora brueggemanni","branching_open","common","Acroporidae","Acroporidae","brooder",0.979,74.8,NA,NA,NA,NA,NA,NA,1,1.6
"46","Acropora bushyensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0.7,1.5
"47","Acropora cardenae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Acropora carduus","hispidose","common","Acroporidae","Acroporidae","spawner",0.165,NA,NA,NA,NA,NA,NA,NA,0.5,0.9
"49","Acropora caroliniana","tables_or_plates","uncommon","Acroporidae","Acroporidae",NA,0.059,NA,NA,NA,NA,NA,NA,50,0.6,1
"50","Acropora cerealis","corymbose","common","Acroporidae","Acroporidae","spawner",0.188,42.9,NA,NA,NA,NA,NA,50,0.3,0.8
"51","Acropora cervicornis",NA,NA,NA,NA,NA,NA,55.7848431372549,NA,NA,25,NA,NA,68.69,1.1,1.7
"52","Acropora chesterfieldensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1
"53","Acropora clathrata","tables_or_plates","common","Acroporidae","Acroporidae","spawner",0.234,NA,NA,NA,NA,NA,NA,NA,0.5,0.9
"54","Acropora convexa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Acropora cophodactyla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Acropora copiosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Isopora crateriformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.6666666666667,0.5,0.8
"58","Isopora cuneata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.5,1
"59","Acropora cylindrica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA
"60","Acropora cytherea","tables_or_plates","common","Acroporidae","Acroporidae",NA,0.921,59.725,NA,NA,NA,NA,NA,300,0.7,1
"61","Acropora dendrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0.5,1.2
"62","Acropora derawanensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0.5,1
"63","Acropora desalwii","corymbose","common","Acroporidae","Acroporidae",NA,0.073,NA,NA,NA,NA,NA,NA,30,0.6,0.8
"64","Acropora digitifera","digitate","uncommon","Acroporidae","Acroporidae","spawner",0.552,37.6,NA,NA,NA,NA,NA,100,0.6,1.6
"65","Acropora divaricata","tables_or_plates","common","Acroporidae","Acroporidae","spawner",0.175,41.5,NA,NA,NA,NA,NA,NA,0.7,1.1
"66","Acropora donei","branching_open","uncommon","Acroporidae","Acroporidae","spawner",0.231,NA,NA,NA,NA,NA,NA,266.666666666667,0.8,1.4
"67","Acropora downingi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1
"68","Acropora echinata","hispidose","uncommon","Acroporidae","Acroporidae","spawner",0.137,NA,NA,NA,NA,NA,NA,150,0.5,1
"69","Acropora efflorescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA
"70","Acropora elegans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.8
"71","Acropora elegantula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Isopora elizabethensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Acropora elseyi","hispidose","common","Acroporidae","Acroporidae","spawner",0.602,0.37,NA,NA,NA,NA,NA,50,0.6,0.9
"74","Acropora exquisita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Acropora fastigata","branching_closed","rare","Acroporidae","Acroporidae",NA,0.093,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Acropora fenneri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA
"77","Acropora filiformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Acropora florida","branching_open","common","Acroporidae","Acroporidae","spawner",0.354,NA,NA,NA,NA,NA,NA,1500,0.7,1.4
"79","Acropora muricata",NA,NA,NA,"Acroporidae",NA,1.495,79.1929411764706,NA,NA,21,NA,NA,625,0.8,1.2
"80","Acropora forskali",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Acropora glauca","tables_or_plates","rare","Acroporidae","Acroporidae","spawner",0.123,NA,NA,NA,NA,NA,NA,NA,0.9,1.3
"82","Acropora globiceps","digitate","common","Acroporidae","Acroporidae",NA,0.264,NA,NA,NA,NA,NA,NA,NA,1.2,2.1
"83","Acropora gomezi","branching_open","uncommon","Acroporidae","Acroporidae",NA,0.323,0.08375,NA,NA,NA,NA,NA,NA,NA,NA
"84","Acropora grandis","branching_open","common","Acroporidae","Acroporidae","spawner",0.71,NA,NA,NA,NA,NA,NA,450,0.8,1.7
"85","Acropora granulosa","tables_or_plates","common","Acroporidae","Acroporidae","spawner",0.085,7.16,NA,NA,NA,NA,NA,75,0.4,0.9
"86","Acropora haimei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Acropora hemprichii",NA,NA,NA,NA,NA,NA,6.51888888888889,NA,NA,NA,NA,NA,200,0.8,1.2
"88","Acropora hoeksemai","branching_open","common","Acroporidae","Acroporidae",NA,0.46,NA,NA,NA,NA,NA,NA,333.333333333333,0.6,1.1
"89","Acropora horrida","branching_closed","uncommon","Acroporidae","Acroporidae","spawner",0.35,NA,NA,NA,NA,NA,NA,200,0.6,1.5
"90","Acropora humilis","digitate","common","Acroporidae","Acroporidae","spawner",0.112,20.2166666666667,NA,NA,NA,NA,NA,NA,1,1.8
"91","Acropora indonesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0.6,1
"92","Acropora inermis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Acropora insignis","branching_closed","uncommon","Acroporidae","Acroporidae",NA,0.318,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Acropora irregularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA
"95","Acropora jacquelineae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.6666666666667,0.1,0.5
"96","Acropora japonica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9
"97","Acropora kimbeensis","branching_closed","uncommon","Acroporidae","Acroporidae",NA,0.206,NA,NA,NA,NA,NA,NA,NA,0.4,0.6
"98","Acropora kirstyae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.8
"99","Acropora kosurini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.8
"100","Acropora lamarcki",NA,NA,NA,NA,NA,NA,32.4,NA,NA,NA,NA,NA,200,NA,NA
"101","Acropora latistella","corymbose","common","Acroporidae","Acroporidae","spawner",0.193,NA,NA,NA,NA,NA,NA,NA,0.6,0.9
"102","Acropora lianae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA
"103","Acropora listeri","branching_closed","uncommon","Acroporidae","Acroporidae","spawner",0.036,NA,NA,NA,NA,NA,NA,50,0.6,1
"104","Acropora loisetteae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1.6
"105","Acropora lokani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,0.6,0.9
"106","Acropora longicyathus","hispidose","common","Acroporidae","Acroporidae","spawner",0.475,NA,NA,NA,NA,NA,NA,NA,0.5,1.3
"107","Acropora loripes","corymbose","common","Acroporidae","Acroporidae","spawner",0.077,NA,NA,NA,NA,NA,NA,45,0.5,1.2
"108","Acropora loveli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,1.7
"109","Acropora lutkeni","branching_open","uncommon","Acroporidae","Acroporidae","spawner",0.12,NA,NA,NA,NA,NA,NA,600,0.6,1.2
"110","Acropora macrostoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA
"111","Acropora maryae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.25,NA,NA
"112","Acropora massawensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA
"113","Acropora meridiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA
"114","Acropora microclados","corymbose","uncommon","Acroporidae","Acroporidae","spawner",0.125,NA,NA,NA,NA,NA,NA,100,0.6,1.2
"115","Acropora microphthalma","branching_open","common","Acroporidae","Acroporidae","spawner",0.49,NA,NA,NA,NA,NA,NA,200,0.6,1
"116","Acropora minuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Acropora mirabilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Acropora monticulosa","digitate","uncommon","Acroporidae","Acroporidae","spawner",0.291,NA,NA,NA,NA,NA,NA,300,0.6,1.2
"119","Acropora multiacuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2
"120","Acropora nasuta","corymbose","common","Acroporidae","Acroporidae","spawner",0.225,41.9,NA,NA,NA,NA,NA,80,0.5,1.1
"121","Acropora natalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Acropora navini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Acropora intermedia","branching_open","common","Acroporidae","Acroporidae","spawner",1.014,NA,NA,NA,NA,NA,NA,500,0.8,1.5
"124","Acropora ocellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Acropora orbicularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Acropora palmata",NA,NA,NA,NA,NA,NA,68.9857142857143,NA,NA,NA,NA,NA,400,0.7,1.6
"127","Acropora palmerae","encrusting","uncommon","Acroporidae","Acroporidae","spawner",0.477,NA,NA,NA,NA,NA,NA,180,0.9,1.3
"128","Acropora paniculata","tables_or_plates","uncommon","Acroporidae","Acroporidae",NA,0.208,NA,NA,NA,NA,NA,NA,103,0.4,0.8
"129","Acropora papillare","branching_open","uncommon","Acroporidae","Acroporidae",NA,0.122,NA,NA,NA,NA,NA,NA,NA,0.8,1.6
"130","Acropora parahemprichii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,NA,NA
"131","Acropora parapharaonis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Acropora parilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Acropora pectinatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA
"134","Acropora pharaonis",NA,NA,NA,NA,NA,NA,7.54,NA,NA,NA,NA,NA,NA,0.6,1.5
"135","Acropora pichoni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0.5,0.9
"136","Acropora pinguis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA
"137","Acropora plana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Acropora plantaginea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Acropora plumosa","tables_or_plates","uncommon","Acroporidae","Acroporidae",NA,0.102,NA,NA,NA,NA,NA,NA,NA,0.6,1.2
"140","Acropora polystoma","corymbose","uncommon","Acroporidae","Acroporidae","spawner",0.065,NA,NA,NA,NA,NA,NA,80,0.8,1.5
"141","Acropora prolifera",NA,NA,NA,NA,NA,NA,59.3333333333333,NA,NA,NA,NA,NA,NA,0.6,1.5
"142","Acropora prostrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Acropora proximalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Acropora pruinosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,1.1,1.6
"145","Acropora pulchra","branching_open","uncommon","Acroporidae","Acroporidae","spawner",0.294,79.94,NA,NA,NA,NA,NA,500,0.6,1.2
"146","Acropora rambleri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA
"147","Acropora retusa","digitate","uncommon","Acroporidae","Acroporidae","spawner",0.433,NA,NA,NA,NA,NA,NA,NA,0.7,0.9
"148","Acropora robusta","branching_open","common","Acroporidae","Acroporidae","spawner",0.343,22.4,NA,NA,NA,NA,NA,NA,0.5,1.5
"149","Acropora rosaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Acropora roseni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,1.2,1.6
"151","Acropora rudis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0.6,1.2
"152","Acropora rufus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Acropora russelli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1
"154","Acropora samoensis","digitate","common","Acroporidae","Acroporidae","spawner",0.082,NA,NA,NA,NA,NA,NA,100,0.8,1.8
"155","Acropora sarmentosa","corymbose","common","Acroporidae","Acroporidae","spawner",0.066,NA,NA,NA,NA,NA,NA,30,1,2
"156","Acropora scherzeriana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Acropora schmitti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Acropora secale","branching_closed","common","Acroporidae","Acroporidae","spawner",0.208,NA,NA,NA,NA,NA,NA,100,0.3,1.2
"159","Acropora sekiseiensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Acropora selago","corymbose","uncommon","Acroporidae","Acroporidae","spawner",0.123,NA,NA,NA,NA,NA,NA,75,0.5,0.9
"161","Acropora seriata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Acropora simplex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0.6,0.8
"163","Acropora solitaryensis","tables_or_plates","rare","Acroporidae","Acroporidae","spawner",0.26,16.7,NA,NA,NA,NA,NA,204,0.5,1.1
"164","Acropora speciosa","corymbose","uncommon","Acroporidae","Acroporidae",NA,0.097,40.3,NA,NA,NA,NA,NA,50,0.3,0.8
"165","Acropora spicifera","tables_or_plates","uncommon","Acroporidae","Acroporidae","spawner",0.227,111,NA,NA,NA,NA,NA,NA,0.5,1.1
"166","Acropora squarrosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.8
"167","Acropora stoddarti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,0.7,1.3
"168","Acropora striata","branching_closed","rare","Acroporidae","Acroporidae","spawner",0.184,NA,NA,NA,NA,NA,NA,NA,0.8,1.1
"169","Acropora subglabra","hispidose","uncommon","Acroporidae","Acroporidae",NA,0.306,NA,NA,NA,NA,NA,NA,NA,0.3,0.8
"170","Acropora subulata","tables_or_plates","common","Acroporidae","Acroporidae","spawner",0.283,NA,NA,NA,NA,NA,NA,250,0.8,1.2
"171","Acropora suharsonoi","corymbose","uncommon","Acroporidae","Acroporidae",NA,0.04,NA,NA,NA,NA,NA,NA,NA,0.6,0.8
"172","Acropora tanegashimensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.8
"173","Acropora tenella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.8
"174","Acropora tenuis","corymbose","uncommon","Acroporidae","Acroporidae","spawner",0.219,NA,NA,NA,NA,NA,NA,NA,0.8,1.2
"175","Acropora teres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Acropora tizardi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Isopora togianensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,0.8,1.2
"178","Acropora torihalimeda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.8
"179","Acropora torresiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Acropora tortuosa","branching_closed","uncommon","Acroporidae","Acroporidae","spawner",0.117,NA,NA,NA,NA,NA,NA,NA,1,1.3
"181","Acropora tumida",NA,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,200,1.2,1.4
"182","Acropora turaki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,0.4,0.8
"183","Acropora tutuilensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Acropora valenciennesi","branching_open","common","Acroporidae","Acroporidae","spawner",0.542,179.333333333333,NA,NA,NA,NA,NA,333.333333333333,0.8,1.5
"185","Acropora valida","corymbose","common","Acroporidae","Acroporidae","spawner",0.548,34.3,NA,NA,NA,NA,NA,50,0.5,0.9
"186","Acropora variabilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Acropora variolosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1.2
"188","Acropora vaughani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1.1
"189","Acropora vermiculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Acropora verweyi","corymbose","common","Acroporidae","Acroporidae",NA,0.054,NA,NA,NA,NA,NA,NA,NA,0.8,1.1
"191","Acropora walindii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0.3,0.5
"192","Acropora willisae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,0.2,1
"193","Acropora yongei","branching_closed","common","Acroporidae","Acroporidae","spawner",0.324,59.34,NA,NA,NA,NA,NA,200,0.8,1.2
"194","Agaricia agaricites",NA,NA,NA,NA,NA,NA,2.78169230769231,NA,NA,NA,NA,NA,34.955,3,5.5
"195","Agaricia fragilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.74,3.5,5
"196","Agaricia grahamae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,6.5
"197","Agaricia humilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1.6,6
"198","Agaricia lamarcki",NA,NA,NA,NA,NA,NA,4.83333333333333,NA,NA,NA,NA,NA,11.21,4.6,7.9
"199","Agaricia tenuifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,5.1
"200","Agaricia undata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,6
"201","Alveopora allingi","columnar","uncommon","Acroporidae","Poritidae",NA,0.01,NA,NA,NA,NA,NA,NA,NA,2.4,3.7
"202","Alveopora catalai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,833.333333333333,2,4.1
"203","Alveopora daedalea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,2.2
"204","Alveopora excelsa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,1.7,2
"205","Alveopora fenestrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,3.4
"206","Alveopora gigas","columnar","uncommon","Acroporidae","Poritidae","spawner",0.083,NA,NA,NA,NA,NA,NA,NA,2,6.6
"207","Alveopora japonica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.7,2.7
"208","Alveopora marionensis","submassive","rare","Acroporidae","Poritidae",NA,0.01,NA,NA,NA,NA,NA,NA,NA,2,3.4
"209","Alveopora minuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.9,1.3
"210","Alveopora ocellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1.5
"211","Alveopora spongiosa","columnar","uncommon","Acroporidae","Poritidae",NA,0.016,NA,NA,NA,NA,NA,NA,150,0.7,1.5
"212","Alveopora tizardi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.5
"213","Alveopora verrilliana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.1
"214","Alveopora viridis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.7
"215","Anacropora forbesi","branching_closed","uncommon","Acroporidae","Acroporidae",NA,0.307,NA,NA,NA,NA,NA,NA,NA,0.2,0.5
