"","Species","X.2","X.1","X","GrowthForm_CTD","LHS_CTD","Abund_CTD","IUCNstatus","MeanPCcover","Range","ReefArea_Range","major_clade","family_molecules","family_morphology","larval","sexual","nominal.species","Lower_bound","Mean","Upper_bound","IUCN_conservation_status","Abundance_GBR","Abundance_world","Coloniality","Depth_lower","Depth_upper","Eastern-most_range_edge","Genus_fossil_age","Growth_form_typical","IUCN_Red_List_category","Life_history_strategy","Mode_of_larval_development","Northern-most_range_edge","Ocean_basin","Oocyte_size_at_maturity","Range_size","Sexual_system","Southern-most_range_edge","Species_age_phylogeny","Substrate_attachment","Water_clarity_preference","Wave_exposure_preference","Western-most_range_edge","Zooxanthellate","Polyp_fecundity","Colony_maximum_diameter","Corallite_width_maximum","Corallite_width_minimum","Growth_form_Wallace","Growth_outline_type","Growth_rate","Nitrogen_concentration","Phosphorus_concentration","Sample_identifier","Calcification_rate","Skeletal_density","Skeletal_micro-density","Symbiodinium_density","Tissue_thickness","Propagule_size_on_release","Symbiodinium_sp._in_propagules","Colony_area","Colony_shape_factor","Distance_from_crest","Polyps_per_area","Ratio_of_female_to_male_gonads","Size_at_maturity","Colony_bleached","Mitotic_index","RNA:DNA_ratio","Chlorophyll_a","Lipid_content","Total_biomass","Protein_biomass","Age_at_maturity","Eggs_per_area","Generation_time","Mesentery_fecundity","Number_of_septa_per_corallite","Dark_respiration","Gross_photosynthesis","Larval_swimming_speed","Dissolved_oxygen_concentration","Distance_from_shore","Downward_flux_of_suspended_particulate_matter","Light_extinction_coefficient","Nitrite-nitrate_concentration","Particulate_organic_matter_concentration","Phosphate_concentration","Salinity","Suspended_particulate_matter_concentration","Individual_identifier","Propagule_age","Rainfall","Sunlight","Colony_surface_area","pre_fecundity"
"11","Acropora carduus",10,10,10,"hispidose",NA,"common","NT",0.165,41615207,181180,"Complex","Acroporidae","Acroporidae","spawner",NA,NA,0.748154652860338,0.853775993576184,0.959419971700135,"Near Threatened","common","uncommon","colonial","35","10","-175.83445145","52.44","tables_or_plates","VU",NA,"spawner","28.94984396","pacific",NA,"32460333.615",NA,"-32.93503621","3.36788174695489","attached","clear","exposed","94.701537","zooxanthellate",NA,NA,"0.8","0.3","corymbose","determinate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Acropora caroliniana",11,11,11,"tables_or_plates",NA,"uncommon","VU",0.059,30227682,167504,"Complex","Acroporidae","Acroporidae",NA,NA,NA,1.03179546543622,1.176976687482,1.32212061373263,"Vulnerable","common","common","colonial","26.2","3","-151.849941404","52.44","corymbose","LC",NA,NA,"31.07171053","pacific",NA,"57556070.995",NA,"-32.85416341","1.06004943315889","attached","clear","exposed","31.004359","zooxanthellate",NA,"150","0.9","0.5","tables_or_plates","determinate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Acropora cerealis",12,12,12,"corymbose","competitive","common","LC",0.188,67291204,230455,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,20.2699256763369,22.8129871832099,25.3400227992945,"Least Concern","common","common","colonial","27.25","3.5","-137.69529769","52.44","tables_or_plates","LC","competitive","spawner","32.70677934","pacific","646","65281082.79","hermaphrodite","-34.74887694","0.681699077952678","attached","clear","broad","26.0011633","zooxanthellate",NA,"50","1","0.7","tables_or_plates","determinate","80.6333333333333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Acropora clathrata",13,13,13,"tables_or_plates",NA,"common","LC",0.234,64156802,237106,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,1.5081001700351,1.71888002846876,1.9319043870964,"Least Concern","common","common","colonial","30.0833333333333","13","-134.96391293","52.44","tables_or_plates","LC",NA,"spawner","31.5524021","pacific",NA,"74032698.81","hermaphrodite","-34.0466021","1.24172200256654","attached","clear","broad","26.7310514","zooxanthellate",NA,NA,"0.8","0.6","corymbose","indeterminate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Acropora cytherea",14,14,14,"tables_or_plates","competitive","common","LC",0.921,85639274,238455,"Complex","Acroporidae","Acroporidae",NA,NA,NA,4.37812828650871,4.92825906855953,5.47210938830427,"Least Concern","common","common","colonial","32.5","10","153.5933386","52.44","corymbose","VU","competitive",NA,"19.95776858","pacific","446","7451118.973",NA,"-12.47183594","0.939961960726763","attached","clear","protected","94.2276691","zooxanthellate",NA,"450","1.6","0.6","corymbose","determinate","41.9",NA,NA,NA,NA,NA,NA,NA,NA,"500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Acropora cytherea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Acropora desalwii",15,15,15,"corymbose",NA,"common","VU",0.073,6820770,88805,"Complex","Acroporidae","Acroporidae",NA,NA,NA,0.0610375474362397,0.0684078690018854,0.0758600105082866,"Vulnerable",NA,"common","colonial","20","5.5","-175.65145197","52.44","tables_or_plates","NT",NA,NA,"39.04769434","pacific",NA,"50358454.52",NA,"-33.63860783","0.900376000707082","attached","clear","exposed","33.6364286","zooxanthellate",NA,"333.333333333333","1.4","0.8","arborescent_tables","determinate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Acropora digitifera",16,16,16,"digitate",NA,"uncommon","NT",0.552,61926579,235048,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,7.66556385175029,8.75165707329487,9.83716274538192,"Near Threatened","common","uncommon","colonial","36.6666666666667","5","-175.1347247","52.44","branching_open","VU",NA,"spawner","22.68466423","pacific",NA,"31618634.395","hermaphrodite","-35.01654721","1.3739231726837","attached","clear","broad","80.4863674","zooxanthellate",NA,"200","1","0.5","hispidose","indeterminate","16.7",NA,NA,NA,"0.453","1.37",NA,NA,"6.55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Acropora divaricata",17,17,17,"tables_or_plates","competitive","common","NT",0.175,54676058,207244,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,3.51134127176602,3.99500779529765,4.47692964281343,"Near Threatened","rare","uncommon","colonial","41.6666666666667","8","-175.73519888","52.44","hispidose","VU","competitive","spawner","29.43212122","pacific","155","33402937.59","hermaphrodite","-28.40731439","5.72711205222336","attached","clear","protected","38.6612798","zooxanthellate",NA,NA,"0.9","0.6","hispidose","indeterminate","40.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Acropora donei",18,18,18,"branching_open",NA,"uncommon","VU",0.231,36434302,183994,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,0.685878634769048,0.783799792219983,0.881857607527998,"Vulnerable","common","common","colonial","24.5","2.5","-131.21290704","52.44","hispidose","LC",NA,"spawner","31.29678534","pacific",NA,"50730321.805","hermaphrodite","-28.98806243","2.0510166523841","attached","clear","broad","70.3240645","zooxanthellate",NA,"500","1.4","0.7","hispidose","indeterminate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Acropora echinata",19,19,19,"hispidose",NA,"uncommon","VU",0.137,43859552,186715,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,1.20416622006377,1.37665375448476,1.54733563518908,"Vulnerable","common","rare","colonial","20","2","154.31026699","52.44","branching_closed","DD",NA,"spawner","19.70711072","pacific",NA,"8012282.214","hermaphrodite","-24.89894354","1.33060517618054","attached","clear","broad","94.5040605","zooxanthellate",NA,"50","1.6","1","corymbose","determinate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Acropora elseyi",20,20,20,"hispidose","competitive","common","LC",0.602,59213949,201652,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,8.68749457504178,9.97611030797012,11.2384044694437,"Least Concern","rare","common","colonial","31.5","3","-176.23055944","52.44","branching_open","NT","competitive","spawner","39.11127704","pacific",NA,"50346268.88","hermaphrodite","-34.58104986","3.79735420056447","attached","clear","broad","26.1744041","zooxanthellate",NA,"45","1.3","0.9","corymbose","determinate","34.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Acropora fastigata",21,21,21,"branching_closed",NA,"rare","DD",0.093,6485575,103898,"Complex","Acroporidae","Acroporidae",NA,NA,NA,0.0110118055045868,0.0124628359918928,0.0138613113569724,"Data Deficient","common","common","colonial","16","1","-106.58224067","52.44","digitate","LC",NA,NA,"34.91387621","pacific",NA,"59611099.49",NA,"-34.32757752","0.693789873065717","attached","clear","broad","22.6129136","zooxanthellate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Acropora florida",22,22,22,"branching_open","competitive","common","NT",0.354,54016640,206863,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,4.38554303124906,4.99117344939393,5.59857599510249,"Near Threatened","common","rare","colonial","20","5","-119.39537938","52.44","tables_or_plates","NT","competitive","spawner","38.02649155","pacific",NA,"36147467.51","hermaphrodite","-35.02700971","0.316054933373932","attached","both","protected","25.6587419","zooxanthellate",NA,"100","1.7","0.8","tables_or_plates","indeterminate",NA,NA,NA,NA,NA,NA,NA,"1950000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Acropora gemmifera",24,24,24,"digitate","competitive","common","LC",0.329,64927893,235446,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,5.61571433122957,6.41795024173235,7.20866146274236,"Least Concern","uncommon","common","colonial","14","0","-137.24139182","52.44","digitate","VU","competitive","spawner","29.22987627","pacific",NA,"32105343.37","hermaphrodite","-24.68200187","2.03575047328919","attached","clear","exposed","93.749034","zooxanthellate",4.966,NA,"0.9","0.4",NA,NA,"5.9",NA,NA,NA,"2.96","1.42",NA,NA,"0.4",NA,NA,"479.324985414723","6.81773413483573","37.8238764044944",129,"1.22","10.07859514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.40614e+12
"26","Acropora glauca",25,25,25,"tables_or_plates","competitive","rare","NT",0.123,51870887,167754,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,0.0548550052959485,0.0625235280947327,0.07017333019126,"Near Threatened","common","uncommon","colonial","23.5","5","133.56987234","52.44","branching_open","DD","competitive","spawner","19.42299572","pacific",NA,"6072023.988","hermaphrodite","-11.82965376","2.19787346085669","attached","clear","exposed","94.2199455","zooxanthellate",NA,NA,"1.1","0.6","arborescent","indeterminate",NA,NA,NA,NA,NA,"1.23","2.824",NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Acropora globiceps",26,26,26,"digitate",NA,"common","VU",0.264,33172090,131898,"Complex","Acroporidae","Acroporidae",NA,"hermaphrodite",NA,5.70739060908735,6.53668624087226,7.35520323219216,"Vulnerable",NA,"common","colonial","47","20","-169.528304021","52.44","branching_open","LC",NA,NA,"31.19092189","pacific",NA,"51130568.88","hermaphrodite","-32.85405513","2.17104827900871","attached","clear","broad","30.9277","zooxanthellate",NA,NA,"1.5","0.6","corymbose","determinate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Acropora gomezi",27,27,27,"branching_open",NA,"uncommon","DD",0.323,5187612,69591,"Complex","Acroporidae","Acroporidae",NA,NA,NA,0.527828724057597,0.596217860021626,0.662773541288329,"Data Deficient",NA,"common","colonial",NA,NA,"-133.08140659","52.44","tables_or_plates","NT",NA,NA,"29.65543951","pacific",NA,"52677407.315",NA,"-31.75708865","0.865804445204572","attached","clear","broad","36.8747335","zooxanthellate",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Acropora grandis",28,28,28,"branching_open","competitive","common","LC",0.71,54541622,223434,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,1.14766510769807,1.31010031870636,1.47058633949231,"Least Concern","common","common","colonial","26.75","6.5","133.36479106","52.44","branching_open","VU","competitive","spawner","20.1010279","pacific",NA,"7973226.1195","hermaphrodite","-11.59157779","0.900913203624174","attached","clear","broad","93.749034","zooxanthellate",NA,"80","1.1","0.4","arborescent","indeterminate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Acropora granulosa",29,29,29,"tables_or_plates","competitive","common","NT",0.085,59858906,201522,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,0.0773441955848217,0.0884032978405845,0.0991985673556599,"Near Threatened","common","uncommon","colonial","12.8","1.5","-138.2249455","52.44","branching_closed","VU","competitive","spawner","31.33912402","pacific",NA,"63786566.725","hermaphrodite","-34.35389682","2.03916998081564","attached","turbid","protected","24.9157011","zooxanthellate",NA,"180","1.5","0.8","corymbose","determinate","9.8625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Acropora hoeksemai",30,30,30,"branching_open",NA,"common","VU",0.46,5304729,70086,"Complex","Acroporidae","Acroporidae",NA,NA,NA,0.183632497116109,0.20754440576101,0.230734011029004,"Vulnerable",NA,"common","colonial","20","2.5","-138.6193312","52.44","digitate","NT",NA,NA,"31.12454292","pacific",NA,"68708933.785",NA,"-35.36103205","2.03575047328919","attached","clear","exposed","23.8186105","zooxanthellate",NA,"103","0.6","0.4","corymbose","determinate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Acropora horrida",31,31,31,"branching_closed","competitive","uncommon","VU",0.35,65331074,237043,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,0.0106123108849424,0.0120717352386649,0.0135835761618774,"Vulnerable","common","common","colonial","30","0.5","-104.30077687","52.44","tables_or_plates","NT","competitive","spawner","38.84118034","pacific",NA,"77111234.445","hermaphrodite","-35.55462518","0.588742378677986","attached","clear","exposed","25.4743655","zooxanthellate",NA,"80","0.9","0.6","corymbose","determinate",NA,NA,NA,NA,NA,"1.52","2.824",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
